
Run      Valoare    Greutate    GreutateMaxima
1           511       457       524         10100011110000111001
2           482       488       524         10110100011000100110
3           277       278       524         01001100110000000000
4           381       447       524         01011110101001110000
5           385       459       524         10010101100001000110
6           232       183       524         00000010000010010010
7           322       329       524         00100011000110010000
8           503       459       524         00001011010000111010
9           404       462       524         11000100011101000000
10           607       523       524         11010010011100110110
11           404       522       524         01000011100111001101
12           418       497       524         00111000100111101100
13           499       504       524         01011101100110110001
14           522       489       524         10001110010101000010
15           302       352       524         01000000001001111001
16           478       481       524         11100111100000011000
17           562       507       524         11000110111000111101
18           365       475       524         10010100001011011000
19           402       522       524         00010101110000001110
20           588       514       524         10001010011010011011
21           428       476       524         11100010010001001001
22           399       487       524         10110000110011101000
23           536       459       524         10011100010100100011
24           487       476       524         10010000001110011011
25           468       493       524         10100010010001001011
26           513       490       524         11111010100001100011
27           180       197       524         10010000001010100000
28           411       413       524         01000010110110011000
29           450       518       524         00100111111000100011
30           407       395       524         00011011110000010101
----------------------------------------------
BestVal : 607 BestWeight: 523
AvrgVal : 430 AvrgWeught: 445
